title,lccn,start_year,end_year,frequency,frequency_normalized,language,place,place_of_publication
The Concho herald. [volume],sn86089498,1890,9999,Weekly,Weekly,English,Texas-Concho-Paint Rock,"Paint Rock, Tex."
The Concho times.,sn87090426,1880,9999,Weekly,Weekly,English,Texas-Tom Green-Fort Concho|Texas-Tom Green-San Angelo,"Fort Concho, Tex."
The confederate news. [volume],sn86089538,1861,1865,NA,Missing,English,Texas-Marion-Jefferson,"Jefferson, Tex."
The conference daily.,sn91072544,1880,1899,Daily,Daily,English,Texas-Washington-Brenham,"Brenham, Tex."
Conroe courier. [volume],sn86088671,1892,1999,Weekly,Weekly,English,Texas-Montgomery-Conroe,"Conroe, Tex."
Conroe daily courier.,sn86090719,1955,9999,Daily,Daily,English,Texas-Montgomery-Conroe,"Conroe, Tex."
The conservative counselor.,sn91072535,1909,1999,Weekly,Weekly,English,Texas-Gonzales-Gonzales,"Gonzales, Tex."
The constitution. [volume],sn86088747,1897,9999,Weekly,Weekly,English,Texas-DeWitt-Cuero,"Cuero, Tex."
The Constitutional advocate and Texas public advertiser. [volume],sn83021339,1832,1833,Weekly,Weekly,English,Texas-Brazoria-Brazoria,"Brazoria, Tex."
The country cousin.,64006,1906,9999,Weekly,Weekly,English,Texas-Bell-Temple,"Temple, Bell County, Tex."
Country press.,sn87090224,1900,9999,Weekly,Weekly,English,Texas-Terry-Brownfield,"Brownfield, Tex."
Country world. [volume],sn86089754,1981,9999,Weekly,Weekly,English,Texas-Hopkins-Sulphur Springs,"Sulphur Springs, Tex."
The County news.,sn87091178,1900,9999,Weekly,Weekly,English,Texas-Brazoria-Alvin,"Alvin, Tex."
County post.,sn88083958,1900,1999,Weekly,Weekly,English,Texas-Van Zandt-Canton,"Canton, Tex."
The County press.,sn88083818,1959,1962,Weekly,Weekly,English,Texas-Refugio-Refugio,"Refugio, Tex."
County-wide news. [volume],sn86088803,1934,1969,Weekly,Weekly,English,Texas-Lamb-Littlefield,"Littlefield, Tex."
The Coupland record. [volume],sn86088661,1913,1999,Weekly,Weekly,English,Texas-Williamson-Coupland,"Coupland, Tex."
The Courant. [volume],sn86088585,1881,9999,Weekly,Weekly,English,Texas-Mitchell-Colorado|Texas-Mitchell-Colorado city,"Colorado, Tex."
The Courier of Edinburg.,sn88083697,1981,1982,Weekly,Weekly,English,Texas-Hidalgo-Edinburg,"Edinburg, Tex."
The Courier-chronicle. [volume],sn86088338,1900,1911,Weekly,Weekly,English,Texas-Robertson-Calvert,"Calvert, Tex."
The courier-gazette.,sn88083074,1983,9999,Daily,Daily,English,Texas-Collin-McKinney,"McKinney, Tex."
The courier.,sn87090255,1900,9999,NA,Missing,English,Texas-Angelina-Lufkin,"Lufkin, Tex."
The courier.,sn87090643,1985,9999,Weekly,Weekly,English,Texas-Tom Green-San Angelo,"San Angelo, Tex."
The courier.,sn88083054,1933,9999,Weekly,Weekly,English,Texas-Liberty-Liberty,"Liberty, Tex."
Courier.,sn88083575,1982,9999,Weekly,Weekly,English,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
The courier.,sn88083843,1900,1999,NA,Missing,English,Texas-Angelina-Huntington,"Huntington, Tex."
The daily citizen.,sn87091194,1000,9999,Daily,Daily,English,Texas-Harris-Houston,"Houston, Tex."
The daily citizen.,sn88083229,1900,9999,Daily,Daily,English,Texas-Harris-Pasadena,"Pasadena, Tex."
The daily constitution. [volume],sn86090406,1890,9999,Daily (except Sun.),Daily,English,Texas-Parker-Weatherford,"Weatherford, Tex."
The Daily Corpus Christi chronicle.,sn88083657,1900,9999,Daily,Daily,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The daily cosmopolitan. [volume],sn86088136,1880,1889,Daily (except Sun.),Daily,English,Texas-Cameron-Brownsville,"Brownsville, Tex."
The Daily cougar. [volume],sn87090644,1965,2014,Daily,Daily,English,Texas-Harris-Houston,"Houston, Tex."
Daily courier and times.,sn88084226,1907,1911,Daily,Daily,English,Texas-Smith-Tyler,"Tyler, Tex."
The daily courier-gazette. [volume],sn86089704,1906,1923,Daily (except Sun.),Daily,English,Texas-Collin-McKinney,"McKinney, Tex."
Daily courier-light. [volume],sn86088933,1880,1999,Daily (except Sun.),Daily,English,Texas-Navarro-Corsicana,"Corsicana, Tex."
Daily courier-times.,sn88084231,1900,1999,Daily,Daily,English,Texas-Smith-Tyler,"Tyler, Tex."
The daily courier. [volume],sn86089702,1897,1901,Daily,Daily,English,Texas-Collin-McKinney,"McKinney, Tex."
The daily courier. [volume],sn86090305,1898,1907,Daily (except Sun.),Daily,English,Texas-Smith-Tyler,"Tyler, Tex."
The Daily courier.,sn87090936,1800,9999,Daily,Daily,English,Texas-Navarro-Corsicana,"Corsicana, Tex."
Daily critic.,sn88083643,1883,9999,Daily,Daily,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Daily Democrat-reporter.,sn88083762,1890,1999,Daily,Daily,English,Texas-Smith-Tyler,"Tyler, Tex."
Daily Democrat.,sn86089165,1929,1999,Daily (except Sun.),Daily,English,Texas-Harris-Goose Creek,"Goose Creek, Tex."
The Daily Democrat.,sn86089341,1883,1899,Daily (except Sun.),Daily,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
The daily democrat.,sn86090081,1901,1965,Daily (except Sun.),Daily,English,Texas-Falls-Marlin,"Marlin, Tex."
The daily Democrat.,sn87090267,1800,9999,NA,Missing,English,Texas-Galveston-Galveston,"Galveston, Tex."
Daily democratic statesman. [volume],sn83021326,1873,1880,Daily (except Sun.),Daily,English,Texas-Travis-Austin,"Austin, Tex."
The crisis!. [volume],sn86088622,1860,1860,Weekly,Weekly,English,Texas-Galveston-Galveston,Galveston [Tex.]
The Critic.,sn88083009,1916,9999,NA,Missing,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
The Crocket weekly quid nunc. [volume],sn86088655,1863,1864,Weekly,Weekly,English,Texas-Houston-Crockett,"Crockett, Tex."
Crockett Argus.,sn88081040,1800,1899,NA,Missing,English,Texas-Houston-Crockett,"Crockett, Tex."
The Crockett County news.,sn87090103,1985,9999,Weekly,Weekly,English,Texas-Crockett-Ozona,"Ozona, Tex."
The Crockett courier-democrat. [volume],sn86088620,1959,1961,Weekly,Weekly,English,Texas-Houston-Crockett,"Crockett, Tex."
The Crockett courier. [volume],sn86088463,1896,1958,Weekly,Weekly,English,Texas-Houston-Crockett,"Crockett, Tex."
The Crockett courier.,sn87090345,1890,1890,Weekly,Weekly,English,Texas-Houston-Crockett,"Crockett, Tex."
The Crockett Democrat. [volume],sn86088666,1940,1958,Weekly,Weekly,English,Texas-Houston-Crockett,"Crocket, Tex."
The Crockett enterprise. [volume],sn86088667,1900,1999,Weekly,Weekly,English,Texas-Houston-Crockett,"Crockett, Tex."
The Crockett printer. [volume],sn83021362,1853,1999,Weekly,Weekly,English,Texas-Houston-Crockett|Texas-Trinity-Sumpter,"Crockett, Tex."
The Crockett quid nunc. [volume],sn86088662,1864,1865,Weekly,Weekly,English,Texas-Houston-Crockett,"Crockett, Tex."
The Crockett sentinel. [volume],sn86088674,1865,1999,Weekly,Weekly,English,Texas-Houston-Crockett,"Crockett, Tex."
The Crockett weekly courier.,sn87090346,1890,1896,Weekly,Weekly,English,Texas-Houston-Crockett,"Crockett, Tex."
The Croney special.,sn88083642,1900,9999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
La Cronica de Hereford.,sn86090621,1986,9999,Weekly,Weekly,Spanish,Texas-Deaf Smith-Hereford,"Hereford, Tex."
El Cronista del valle. [volume],sn84045524,1917,1999,Weekly,Weekly,Spanish,Texas-Cameron-Brownsville,"Brownsville, Tex."
Crosby County news and the Crosbyton review.,sn87090223,1986,9999,Weekly,Weekly,English,Texas-Crosby-Crosbyton,"Crosbyton, Tex."
The Crosby County news. [volume],sn86088593,1887,1999,Weekly,Weekly,English,Texas-Crosby-Emma|Texas-Crosby-Estacado,"Estacado, Tex."
The Crosby County reporter-examiner.,2001215667,2000,9999,Weekly (except a week at Christmas and one week in summer),Weekly,English,Texas-Crosby-Lorenzo,"Lorenzo, Tex."
The Crosby review. [volume],sn86088533,1910,9999,Weekly,Weekly,English,Texas-Harris-Crosby,"Crosby, Tex."
The Crosbyton review. [volume],sn86088461,1909,9999,Weekly,Weekly,English,Texas-Crosby-Crosbyton,"Crosbyton, Tex."
The Cross Plains review. [volume],sn86088460,1910,9999,Weekly,Weekly,English,Texas-Callahan-Cross Plains,"Cross Plains, Tex."
The Crowell index. [volume],sn86089029,1908,1910,Weekly,Weekly,English,Texas-Foard-Crowell,"Crowell, Tex."
Crowley beacon.,sn88083342,1977,1985,Weekly,Weekly,English,Texas-Tarrant-Crowley,"Crowley, Tex."
Crowley beacon.,sn88083344,1971,1972,Monthly,Monthly,English,Texas-Tarrant-Crowley,"Crowley, Tex."
Crowley eagle.,sn88083343,1900,9999,Weekly,Weekly,English,Texas-Tarrant-Crowley,"Crowley, Tex."
Crowley review.,sn88083341,1987,1996,Fifty-one weeks (except 1st week of July),Weekly,English,Texas-Tarrant-Crowley,"Crowley, Tex."
Crowley star-review.,sn97005930,1996,9999,Weekly,Weekly,English,Texas-Tarrant-Crowley,"Crowley, Tex."
Crowley this week.,sn88083359,1970,1972,Weekly,Weekly,English,Texas-Tarrant-Crowley,"Crowley, Tex."
La cro´nica.,2004240523,1980,9999,Weekly,Weekly,Spanish,Texas-Bexar-San Antonio,"San Antonio, Tex."
La cro´nica. [volume],sn86089580,1909,9999,Weekly,Weekly,Spanish,Texas-Webb-Laredo,"Laredo, Tex."
The Crystal City chronicle.,sn87090652,1907,9999,Weekly,Weekly,English,Texas-Zavala-Crystal City,"Crystal City, Tex."
The corps review. [volume],2018263180,1980,9999,Irregular,Irregular,English,Texas-Brazos-College Station,"[College Station, Texas]"
Corpus Christi advertiser.,sn88083639,1800,9999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi business journal.,sn88084019,1987,9999,Semimonthly,Semimonthly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi caller and daily herald. [volume],sn86088527,1911,1917,Daily (except Mon.),Daily,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi caller-times.,sn87002897,1987,9999,Daily,Daily,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The Corpus Christi caller. [volume],sn86071134,1918,1987,Daily,Daily,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi caller. [volume],sn86088528,1883,1899,NA,Missing,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi caller.,sn88083306,1890,1905,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi church press and weekly news.,sn88083655,1936,9999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The Corpus Christi craftsman and farmer.,sn88083654,1916,9999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi daily caller.,sn88083302,1890,9999,Daily,Daily,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The Corpus Christi daily gazette. [volume],sn86088523,1876,1879,Daily (except Mon.),Daily,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi daily herald.,sn86090211,1908,1911,Daily (except Mon.),Daily,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi Democrat.,sn88083640,1900,9999,Daily,Daily,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi free press. [volume],sn86088526,1930,9999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi free press. [volume],sn86088577,1876,1883,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi gazette. [volume],sn83025735,1846,1846,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,Corpus Christi [Tex.]
The Corpus Christi post.,sn87090818,1900,1966,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi press and weekly news.,sn88083651,1900,9999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi Press Club's gridiron extra.,2008240718,1900,9999,Irregular,Irregular,English,Texas-Nueces-Corpus Christi,"[Corpus Christi, Tex.]"
Corpus Christi press. [volume],sn86089795,1936,1999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The Corpus Christi ranchero. [volume],sn86088409,1863,1864,Weekly,Weekly,English,Texas-Willacy-Santa Margarita,"Santa Margarita, Tex."
Corpus Christi review.,sn88084156,1971,1999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The Corpus Christi star = Estrella de Corpus Christi. [volume],sn86088581,1848,1999,Weekly,Weekly,English|Spanish,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The Corpus Christi star. [volume],sn86088545,1892,1999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The Corpus Christi sun.,sn88083641,1978,9999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi sun.,sn88084017,1891,1999,NA,Missing,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi times. [volume],sn84006195,1911,1987,Daily (except holidays),Daily,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi weekly advertiser. [volume],sn86088928,1866,1872,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi weekly caller. [volume],sn86088521,1905,1999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi weekly caller.,sn88083307,1800,1899,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi weekly gazette. [volume],sn85033344,1873,1878,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi weekly labor herald. [volume],sn88083653,1940,9999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Corpus Christi weekly. [volume],sn86088898,1960,9999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The Corpus crony.,sn86090210,1900,1999,Weekly,Weekly,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
El correo de Laredo. [volume],sn86089579,1891,9999,Semiweekly,Semiweekly,Spanish,Texas-Webb-Laredo,"Laredo, Tex."
El correo del bravo.,sn87055522,1910,9999,Daily,Daily,Spanish,Texas-El Paso-El Paso,"El Paso, Tex."
El correo del Rio Grande. [volume],sn86088166,1866,9999,Daily (except Mon.),Daily,English|Spanish,Texas-Cameron-Brownsville,"Brownsville, Tex."
El correo mexicano.,sn95070590,1890,1999,Weekly,Weekly,Spanish,Texas-Bexar-San Antonio,"San Antonio, Tex."
El correo.,sn86090033,1858,1899,Weekly,Weekly,Spanish,Texas-Bexar-San Antonio,"San Antonio, Tex."
The Corrigan news.,sn88083915,1928,1999,Weekly,Weekly,English,Texas-Polk-Corrigan,"Corrigan, Tex."
The Corrigan press.,sn88083078,1000,9999,Weekly,Weekly,English,Texas-Polk-Corrigan,"Corrigan, Tex."
Corrigan times.,sn88083910,1900,9999,Weekly,Weekly,English,Texas-Polk-Corrigan,"Corrigan, Tex."
The Corrigan tribune.,sn88083909,1931,1999,Weekly,Weekly,English,Texas-Polk-Corrigan,"Corrigan, Tex."
Corsicana daily courier. [volume],sn86088934,1878,1899,Daily,Daily,English,Texas-Navarro-Corsicana,"Corsicana, Tex."
Corsicana daily light. [volume],sn86088676,1889,1999,Daily,Daily,English,Texas-Navarro-Corsicana,"Corsicana, Tex."
Corsicana daily sun.,sn84007024,1896,9999,Daily (except Christmas),Daily,English,Texas-Navarro-Corsicana,"Corsicana, Tex."
Corsicana Democrat and truth. [volume],sn86088935,1000,1999,Weekly,Weekly,English,Texas-Navarro-Corsicana,"Corsicana, Tex."
The Corsicana Democrat. [volume],sn94052799,1885,1999,Weekly,Weekly,English,Texas-Navarro-Corsicana,"Corsicana, Navarro County, Tex."
The Corsicana index. [volume],sn83021359,1876,1879,Weekly,Weekly,English,Texas-Navarro-Corsicana,"Corsicana, Tex."
The Corsicana observer. [volume],sn83021360,1865,1899,Weekly,Weekly,English,Texas-Navarro-Corsicana,"Corsicana, Tex."
Corsicana semi-weekly light. [volume],sn86063717,1885,9999,Semiweekly,Semiweekly,English,Texas-Navarro-Corsicana,"Corsicana, Tex."
Corsicana weekly light.,sn88083345,1970,1981,Weekly,Weekly,English,Texas-Navarro-Corsicana,"Corsicana, Tex."
Coryell County news. [volume],sn86088893,1932,1999,Semiweekly,Semiweekly,English,Texas-Coryell-Gatesville,"Gatesville, Tex."
El Cosmopolita.,sn88083860,1900,1999,NA,Missing,Spanish,Texas-Jim Wells-Alice,"Alice, Tex."
The Cotton belt. [volume],sn86088632,1888,9999,Weekly,Weekly,English,Texas-Navarro-Dawson,"Dawson, Tex."
Cotton Palace boll.,sn88084170,1916,9999,Daily,Daily,English,Texas-McLennan-Waco,"Waco, Tex."
The Cotulla record.,sn88083547,1000,9999,Weekly,Weekly,English,Texas-La Salle-Cotulla,"Cotulla, Tex."
The Cotulla times. [volume],sn94052802,1880,1999,Weekly,Weekly,English,Texas-La Salle-Cotulla,"Cotulla, Tex."
The Cougar. [volume],sn87090645,1928,1934,Monthly,Monthly,English,Texas-Harris-Houston,"Houston, Tex."
The cougar. [volume],sn87090646,1934,1965,Weekly,Weekly,English,Texas-Harris-Houston,"Houston, Tex."
The Country campus journal.,sn88083857,1948,1999,Weekly,Weekly,English,Texas-Walker-Huntsville,"Huntsville, Tex."
The Daily dinner horn.,sn88084244,1916,1929,Daily,Daily,English,Texas-Lamar-Paris,"Paris, Tex."
The Daily dispatch. [volume],sn84022283,1867,1869,Daily,Daily,English,Texas-Galveston-Galveston,"Galveston, Tex."
The Daily dispatch. [volume],sn86088222,1880,1889,Daily,Daily,English,Texas-Travis-Austin,"Austin, Tex."
The daily eagle.,sn88083746,1969,1971,Daily,Daily,English,Texas-Brazos-Bryan,"Bryan, Tex."
The daily enterprise.,2013271050,1898,1909,Daily,Daily,English,Texas-Jefferson-Beaumont,"Beaumont, Tex."
The daily enterprise. [online resource],2013271969,1898,1909,Daily,Daily,English,Texas-Jefferson-Beaumont,"Beaumont, Texas"
Daily enterprise.,sn88083416,1894,1909,Daily,Daily,English,Texas-Johnson-Cleburne,"Cleburne, Tex."
The daily enterprise.,sn88084264,1903,1907,NA,Missing,English,Texas-Johnson-Cleburne,"Cleburne, Tex."
The Daily evening banner.,sn88083467,1876,1999,Daily,Daily,English,Texas-Washington-Brenham,"Brenham, Tex."
The daily evening star. [volume],sn86089545,1869,1899,Daily,Daily,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
The Daily evening star.,sn88083413,1800,9999,Daily,Daily,English,Texas-Johnson-Cleburne,"Cleburne, Tex."
Daily examiner-review.,sn88083987,1000,1999,Daily,Daily,English,Texas-Grimes-Navasota,"Navasota, Tex."
The daily examiner-review.,sn96092509,1919,1922,Daily (except Sun.),Daily,English,Texas-Grimes-Navasota,"Navasota, Tex."
The daily examiner.,sn86090001,1895,1905,Daily (except Sun.),Daily,English,Texas-Grimes-Navasota,"Navasota, Tex."
The daily express. [online resource],2018203361,1891,1911,Daily,Daily,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
Daily express. [volume],sn84022305,1870,1871,Daily (except Monday),Daily,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
The daily express. [volume],sn86071252,1891,1911,Daily,Daily,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
The Daily facts-review.,sn87091074,1952,1956,Daily,Daily,English,Texas-Brazoria-Freeport,"Freeport, Tex."
The Daily fair news.,sn86088244,1877,9999,Daily,Daily,English,Texas-Travis-Austin,"Austin, Tex."
The daily favorite. [volume],sn86088119,1899,1910,Daily (except Sat. & Sun.),Daily,English,Texas-Fannin-Bonham,"Bonham, Tex."
The Daily Fort Worth Democrat. [volume],sn86088492,1876,1878,Daily (except Monday),Daily,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
Daily Fort Worth standard.,sn88084148,1870,1999,Daily,Daily,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
Daily Fort Worth tribune.,sn88083002,1870,1899,Daily,Daily,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
Le courrier du Rio-Grande. [volume],sn86088165,1866,1866,Daily,Daily,English|French,Texas-Cameron-Brownsville,"Brownsville, Tex."
The court martial : all the news that's fit to print. [volume],2016263191,1916,9999,Annual,Annually,English,Texas-Brazos County-College Station,"[College Station, Texas]"
The Cove banner.,sn88083498,1900,9999,Weekly,Weekly,English,Texas-Coryell-Copperas Cove,"Copperas Cove, Tex."
The Cove courier.,sn88083048,1900,9999,Weekly,Weekly,English,Texas-Chambers-Cove,"Cove, Tex."
The Cove press.,sn88083508,1976,1977,Semiweekly,Semiweekly,English,Texas-Coryell-Copperas Cove,"Copperas Cove, Tex."
Cowtown plane-facts.,sn87091233,1900,1946,Weekly,Weekly,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
The coyote.,sn86089249,1906,1999,NA,Missing,English,Texas-Taylor-Abilene,"Abilene, Tex."
The Craftsman. [volume],sn86088644,1913,1919,Weekly,Weekly,English,Texas-Dallas-Dallas,"Dallas, Tex."
The Crandall star.,sn91072520,1900,1999,NA,Missing,English,Texas-Kaufman-Crandall,"Crandall, Kaufman County, Tex."
The Crane County news. [volume],sn86088660,1929,1999,Weekly,Weekly,English,Texas-Crane-Crane,"Crane, Tex."
The Crane news.,sn86090627,1945,9999,Weekly,Weekly,English,Texas-Crane-Crane,"Crane, Tex."
Cranfills Gap news. [volume],sn86088659,1914,1999,Weekly,Weekly,English,Texas-Bosque-Cranfills Gap,"Cranfills Gap, Tex."
The Crawford sun. [volume],sn86088535,1928,1969,Weekly,Weekly,English,Texas-McLennan-Crawford,"Crawford, Tex."
The cue.,sn88084077,1900,9999,NA,Missing,English,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
The Cuero bulletin. [volume],sn86088899,1876,1999,Weekly,Weekly,English,Texas-DeWitt,"Cuero, Tex."
The Cuero daily hustler. [volume],sn86088881,1894,1895,Daily (except Sun.),Daily,English,Texas-DeWitt-Cuero,"Cuero, Tex."
The Cuero daily record. [volume],sn86088711,1887,1929,Daily (except Sat.),Daily,English,Texas-DeWitt-Cuero,"Cuero, Tex."
Cuero daily star. [volume],sn86088882,1873,1999,Daily (except Sat.),Daily,English,Texas-DeWitt-Cuero,"Cuero, Tex."
The Cuero record. [volume],sn86088712,1929,9999,Weekly,Weekly,English,Texas-DeWitt-Cuero,"Cuero, Tex."
The Cuero weekly record. [volume],sn86088880,1895,1929,Weekly,Weekly,English,Texas-DeWitt-Cuero,"Cuero, Tex."
The Cuero weekly star. [volume],sn83021363,1873,1999,Weekly,Weekly,English,Texas-DeWitt-Cuero,"Cuero, Tex."
The Cumby rustler. [volume],sn86088634,1893,9999,Weekly,Weekly,English,Texas-Hopkins-Cumby,"Cumby, Tex."
Current. [online resource],2015238517,1986,9999,Weekly,Weekly,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
"The Cushing news, the Mount Enterprise progress.",sn88084284,1985,9999,Weekly,Weekly,English,Texas-Rusk-Mount Enterprise,"Mount Enterprise, Tex."
The Cushing news.,sn88084283,1900,1999,Weekly,Weekly,English,Texas-Nacogdoches-Cushing,"Cushing, Tex."
The Cutover-land farmer.,sn86089830,1924,1999,Weekly,Weekly,English,Texas-Newton-Newton,"Newton, Tex."
