SubjectTerm	CollocationCount
"Business, Economics and Finance - Transportation"	21
"Business, Economics and Finance - Transportation - Railroads"	21
"Redway, Hamilton K., 1835- -- Archives."	21
Social Life and Customs - Food and Cooking	21
farms	21
news reporters	21
Architecture - Construction	20
Calf roping.	20
"Cauble, Rex"	20
Government and Law - Law Enforcement - Sheriffs	20
"Moore, Charles B."	20
cowboy hats	20
livestock	20
women	20
Fentress family -- Archives.	19
Places - Mexico - Chihuahua - Ciudad Juárez	19
competitions	19
foals	19
men	19
parades	19
Arts and Crafts - Music	18
Arts and Crafts - Theatre - Motion Pictures	18
Buggies	18
"Business, Economics and Finance - Hotels"	18
"Freeman, Bill"	18
Television broadcasting of news -- Texas.	18
feed yards	18
festivals	18
stables	18
thefts	18
Agriculture	17
Agriculture - Ranching - Cattle Trails	17
Arts and Crafts - Music - Bands	17
"Business, Economics and Finance - Medicine - Doctors"	17
Communication Artifacts	17
Education - Colleges and Universities - University of North Texas	17
Government and Law - Texas Laws and Regulations	17
Government and Law - Vital Records - Deaths	17
Horse shows	17
actors	17
cowhands	17
fire departments	17
ranches	17
sound stages	17
Agriculture - Farm Equipment - Tractors	16
"Business, Economics and Finance - Restaurants"	16
Cowboy Hats	16
Landscape and Nature - Water - Lakes	16
Sports and Recreation - Baseball	16
Transportation -- Texas.	16
"Underwood, George"	16
"World War, 1939-1945."	16
cars	16
carts	16
costumes	16
horseshoes	16
trains	16
Agriculture - Farming - Wheat	15
Art	15
Arts and Crafts - Music - Instruments	15
"Camp Piatt, West Virginia"	15
Clydesdales	15
"Kempner, Isaac H. (Isaac Herbert), 1873-1967"	15
Landscape and Nature - Water	15
Landscape and Nature - Wildlife	15
Lantern slides	15
Marfa (Tex.) -- History -- Photographs.	15
"Print, Photographic"	15
Texas Panhandle (Tex.)	15
Wilson & Co.	15
saddles	15
steers	15
Agriculture - Domestic Animals - Poultry	14
"Business, Economics and Finance - Medicine - Hospitals"	14
"Business, Economics and Finance - Transportation - Boats"	14
Corrals	14
"Freeman, Shorty"	14
Government and Law - Law Enforcement - Investigations	14
"Loftis, Linda"	14
Mexican border	14
"Reeves, Frank"	14
Six White Horses	14
Smart Little Lena	14
Texas-Mexico border	14
"United States -- History -- Civil War, 1861-1865 -- Equipment and supplies."	14
animal cruelty	14
corrals	14
group portraits	14
photographs	14
tents	14
trophies	14
veterinarians	14
windmills	14
16 Tons	13
Agriculture - Domestic Animals	13
"Business, Economics and Finance - Tourism"	13
"Business, Economics and Finance - Transportation - Accidents"	13
Government and Law - Civil Servants - Postal Service	13
Hats	13
"Moore, Josephus C."	13
"Moore, Linnet"	13
Places - United States - Texas - Jefferson County - Port Arthur	13
Science and Technology - Tools	13
Social Life and Customs - Customs - Holidays - Christmas	13
Sports and Recreation - Hunting	13
Sports and Recreation - Swimming	13
"Todo, Jimbo"	13
Wild Horses	13
business letters	13
hats	13
signs	13
thieves	13
Agriculture - Farming - Corn	12
American Quarter Horse Association	12
Arts and Crafts - Paintings	12
"Business, Economics and Finance - Finance - Banks"	12
Education - Schools	12
"Flynt, Marion"	12
People - Ethnic Groups - African Americans	12
Phinney	12
Places - United States - Texas - El Paso County - El Paso	12
"Ramón, José María"	12
Religion - Churches	12
Social Life and Customs - Customs - Weddings	12
Social Life and Customs - Slavery	12
Sports and Recreation - Football	12
Texas Sesquicentennial Wagon Train	12
animal abuses	12
appalachia	12
barrels	12
brands	12
calves	12
children	12
elephants	12
floats	12
gambling	12
ranch scenes	12
rodeos	12
teams	12
Agriculture - Ranching - Barbed Wire	11
All American Quarter Horse Congress	11
"Business, Economics and Finance - Oil and Gas"	11
"Business, Economics and Finance - Stores - Grocery Stores"	11
"Business, Economics and Finance - Transportation - Motorcycles"	11
Country Gold	11
Cutting (Horsemanship) -- Competitions -- Texas -- Ft. Worth	11
Cutting (Horsemanship) -- Photographs.	11
Cutting horses	11
Education - Colleges and Universities - Southern Methodist University	11
Education - Schools - Buildings	11
Government and Law - City Halls	11
Landscape and Nature - Natural Disasters - Floods	11
Landscape and Nature - State and National Parks	11
Military and War - Forts	11
Military and War - Weapons - Cannons	11
Moncho	11
"Moore, Mary"	11
People - Ethnic Groups - American Indians	11
People - Ethnic Groups - Hispanics	11
Pin Oaks Horse Show	11
Places - United States - Alabama	11
Places - United States - Texas	11
Trees	11
"Wygant, Bobbie"	11
airports	11
audiences	11
colts	11
communities	11
farmers	11
shows	11
snow	11
television studios	11
Agriculture - Domestic Animals - Sheep	10
Agriculture - Farm Equipment - Threshers	10
Agriculture - Farming - Hay	10
Architecture - Civil Works - Bridges	10
Architecture - Civil Works - Locks and Dams - Dams	10
"Business, Economics and Finance - Stores - Meat Markets"	10
Doc O Lena	10
Education - Events	10
Farmers	10
"Fentress, Clara"	10
"Fentress, Jimmie"	10
Fillies	10
Futurity	10
Government and Law - Law Enforcement - Texas Rangers	10
Government and Law - Legal Documents	10
Government and Law - Politics	10
Lower Rio Grande Valley	10
"Martinez, Policarzo"	10
"Moore, Charles"	10
N.C.H.A.	10
New York National Guard	10
People - Groups - Pioneers	10
Ranges	10
Social Life and Customs	10
Social Life and Customs - Meetings and Conferences	10
Sports and Recreation - Stadiums	10
Star Telegram	10
State Fair of Texas	10
"Tate, Mary"	10
cavalries	10
cavalry	10
charities	10
exhibits	10
horse shoes	10
horse shows	10
pastures	10
rodeo scenes	10
television sets	10
wagon trains	10
Agriculture - Farming - Citrus and Fruit	9
Barcerole	9
"Business, Economics and Finance - Communications - Newspapers"	9
Fences	9
Government and Law - Elected Officials - Governors	9
Government and Law - Law Enforcement - Jails and Prisons	9
Landscape and Nature - Natural Disasters - Fires	9
Periodicals	9
Religion	9
Sesquicentennial Wagon Train	9
Social Life and Customs - Clubs and Organizations - American Quarter Horse Association	9
Social Life and Customs - Pets	9
Social Life and Customs - Popular Culture - Magazines	9
Sports and Recreation - Golf	9
Texas -- History	9
Texas Childrens Hospital	9
Tournament of Champions	9
WBAP 820 Radio	9
Wagons	9
"Welch, Buster"	9
"Wells, Jerry"	9
Will Daly	9
"Williams, Byrd M. (Byrd Moore), IV, 1951- -- Photograph collections."	9
arenas	9
horse-drawn fire wagons	9
mares	9
owners	9
pony	9
vaccines	9
Agriculture - Ranching - Cattle Brands	8
Arts and Crafts - Crafts - Fiber Arts - Sewing	8
"Business, Economics and Finance - Medicine"	8
"Business, Economics and Finance - Transportation - Aviation - Helicopters"	8
College campuses -- Texas -- Denton -- Photographs.	8
"DeRusha, Daniel Ray (D. R.)"	8
Education - Colleges and Universities	8
Fair Park	8
Government and Law - Elected Officials - Presidents	8
Houses	8
"Knost, Chip"	8
Landscape and Nature - Water - Creeks	8
Manion Ranch	8
Military and War - Personnel - Veterans	8
Military and War - United States Armed Forces	8
Places - United States - Texas - Deaf Smith County	8
Places - United States - Texas - Denton County - Denton	8
Social Life and Customs - Clubs and Organizations - 4-H	8
Social Life and Customs - Customs - Holidays - Independence Day	8
Social Life and Customs - Customs - Parties	8
Social Life and Customs - Pets - Cats	8
Sports and Recreation	8
Sports and Recreation - Camping	8
Sports and Recreation - Fishing	8
Sports and Recreation - Riding - Bulls	8
Will Rogers Coliseum	8
advertisements	8
auctions	8
blacksmiths	8
buggy	8
cameras	8
coaches	8
comandantes	8
elections	8
equines	8
fire stations	8
firemen	8
injuries	8
lassos	8
movies	8
races	8
residents	8
stagecoaches	8
tickets	8
Architecture - Landmarks	7
B.F. Phillips Ranch	7
"Bankston, Shugart and Stryker"	7
"Benavides, Miguel"	7
"Business, Economics and Finance - Saloons, Bars, Taverns"	7
"Cotter, Laura"	7
Cutting horse competitions -- Florida.	7
Dash for Cash	7
"Gould, Robert (Bob)"	7
Hereford Feedyards	7
Honey Karnes	7
Horse Country Photographers	7
Horseshoers	7
Landscape and Nature - Geography and Maps	7
Landscape and Nature - Water - Oceans and Seas	7
Landscape and Nature - Water - Ponds	7
League City (Tex.) -- Photographs.	7
Loyd Jinkins Show	7
"McGee, Birdie"	7
Oakwood Stables	7
Places - Mexico - Chihuahua	7
Places - United States - Texas - Galveston County	7
Rosemeade Ranch	7
"Sutton, J. Margaret"	7
Texas & Pacific Railway.	7
UNT campus	7
WBAP-TV	7
barns	7
beauties	7
broncos	7
chaps	7
exhibit receptions	7
horse photography	7
mules	7
musicians	7
pen riders	7
remudas	7
riders	7
ropes	7
roping arenas	7
scores	7
traditions	7
wagon wheels	7
AQHA	6
Agriculture - Domestic Animals - Goats	6
Appalachia	6
Arts and Crafts - Dance	6
Arts and Crafts - Sculptures	6
"Baskins, Don"	6
"Bills, Major"	6
Black-and-white photography.	6
Blacksmithing -- Texas -- Graham	6
Blacksmiths -- Texas	6
"Business, Economics and Finance - Finance"	6
Children	6
Colorado State Fair	6
D. R. Daniel Ranch	6
Education - Events - Homecoming	6
"Fentress, Kate"	6
Flynt Ranch	6
Government and Law - Elected Officials - Senators	6
"Hastings, Tommy"	6
"Hughes, Mike"	6
Joses Dually	6
"Kelley, Bill"	6
"Kempner, Isaac Herbert, Jr."	6
Lightning Rey	6
"McQuay, Tim"	6
Military and War - Wars - World War I	6
Orren Mixer	6
Palomino horse	6
"Pendexter, George"	6
Quarter horse	6
"Riley, Lanham"	6
"Rutherford, Mike"	6
SMU	6
"Shivers, Allan"	6
Sneakin Cee	6
Social Life and Customs - Competitions - Beauty Pageants	6
Social Life and Customs - Customs - Funerals	6
Sports and Recreation - Basketball	6
Sports and Recreation - City Parks	6
Swingin Star Lady	6
T&P	6
U.S. Army	6
University of North Texas -- Photographs.	6
W.H. Horne Co.	6
"Watson, Will"	6
Western Heritage Day	6
Western Heritage Parade	6
"Wood, John"	6
"Wygant, Phil"	6
You Catchin'	6
bandits	6
bandoliers	6
bulls	6
chickens	6
drivers	6
films	6
harnesses	6
home movies	6
home videos	6
illustrations	6
livestock shows	6
miniature horses	6
officers	6
orders	6
parade floats	6
parimutuel betting	6
prizes	6
race tracks	6
reporters	6
rifles	6
shoeing	6
show horses	6
starvation	6
streams	6
sworn statements	6
theft	6
vehicles	6
Agriculture - Farming - Dairy	5
Appaloosas	5
Architecture - Museums	5
Arts and Crafts - Drawings	5
Beaumont Fire Department	5
"Berry, John"	5
Big Tex Feedyard	5
Boys	5
Buildings	5
Bureau of Land Management	5
"Business, Economics and Finance - Electricity"	5
"Business, Economics and Finance - Journalism"	5
"Business, Economics and Finance - Medicine - Red Cross"	5
"Business, Economics and Finance - Real Estate"	5
"Business, Economics and Finance - Transportation - Aviation"	5
"Business, Economics and Finance - Transportation - Railroads - Depots"	5
Cavalry	5
Christmas Four	5
Circus animals -- Photographs.	5
Circus performers -- Photographs.	5
Continental Airlines	5
Cowboy Band	5
Cowboy Boots	5
"DeRusha, Romara Ray"	5
Documentary photography.	5
Education - Colleges and Universities - Faculty and Staff	5
Fat Stock Show	5
Garza Dam	5
"Gouldy, Ted"	5
Government and Law - Elected Officials - County Judges	5
Hardin-Simmons University	5
Homes	5
Horse Wranglers	5
Horse trainers	5
Humane Society	5
Imperial Sugar Company.	5
Inez Black Gold	5
"Jones, Bob"	5
Lake Dallas	5
Lee's Page Boy	5
"Lee, Jim"	5
Lone Star Beer	5
Marion Flynt Ranch	5
"Mayfield, Mary Ann"	5
"McKnight, Peyton"	5
Men	5
"Mexico -- History -- Revolution, 1910-1920"	5
NCHA	5
"O'Daniel, W. Lee (Wilbert Lee), 1890-1969."	5
OH Crew	5
"Peters, Bobby"	5
Places - United States - Texas - Tarrant County - Fort Worth	5
"Redway, Hamilton K."	5
"Rivera, Carlos"	5
"Rivera, Miguel"	5
Rodeos	5
Social Life and Customs - Customs - Holidays - Easter	5
Social Life and Customs - Food and Cooking - Dining	5
"Spicer, Harvey"	5
Sports and Recreation - Hockey	5
Sports and Recreation - Riding	5
Sports and Recreation - Track and Field	5
Telephone Poles	5
Television broadcasting of news -- United States.	5
Texas animal health commission	5
The Bobby Peters Show	5
"Uribe, Rafael"	5
"Vela, Trinidad"	5
"Villarreal, Florencio"	5
W.H. Horne	5
Wheels	5
Women	5
Wranglers	5
ads	5
audience	5
buffalo	5
buildings	5
clowns	5
donations	5
farriers	5
film cameras	5
gamblers	5
herds	5
hills	5
horse races	5
illness	5
juzgados	5
news stations	5
offices	5
palomino horses	5
palominos	5
performances	5
photographers	5
post offices	5
reins	5
scrapbooks	5
sets	5
side saddles	5
stallions	5
state fairs	5
steer roping	5
vaccinations	5
vaudeville	5
Abu Ghosh (Israel)	4
Agriculture - Processing and Storage	4
Amateur films	4
Architecture - Civil Works	4
"Ashcraft, Leroy"	4
"Bankston, Ray"	4
Bar Bob	4
Bay Deedle	4
"Benavides, Basilio"	4
"Bryan, William John"	4
"Business, Economics and Finance - Oil and Gas - Oil Wells"	4
"Business, Economics and Finance - Service Industries - Liveries"	4
"Business, Economics and Finance - Stores - Lumber Yards"	4
"Business, Economics and Finance - Transportation - Buses"	4
Carriages & coaches	4
Carter Field	4
"Carter, Punk"	4
Cherokee County (Tex.) -- Photographs.	4
Chisholm Trail	4
Ciudad Juarez	4
"Coleman, E. G."	4
Communities	4
"Crawford, Gas"	4
"Cuellar, Fernando"	4
Cutting (Horsemanship) -- Competitions	4
Dallas Fire Department	4
"Dew, George"	4
"Dew, Lillie"	4
Education	4
Education - Schools - Teachers	4
Fire fighters -- Texas.	4
"Flores, José María"	4
Fort Bliss	4
Gay Bar King	4
"Gay, Neal"	4
"Goodwin, Wayne"	4
Government and Law - Elected Officials	4
Government and Law - Elected Officials - Mayors	4
Government and Law - Law Enforcement	4
Government and Law - Money - Paper Money	4
Government and Law - Politics - Speeches	4
Government and Law - Taxes	4
Harold's Angel	4
"Hay, Johnny"	4
"Hickman, Tom"	4
Horses -- Photographs.	4
Horses Training	4
"Howard, Raymond"	4
Jerry Wells Ranch	4
"Joy, Levi"	4
Kids	4
"King, William"	4
"Lafuente, Manuel"	4
Lake Texoma	4
Landscape and Nature - Aerials	4
Landscape and Nature - Canyons	4
Latigo Farms	4
Leo's Question	4
Literature	4
"Matthews, Watkins Reynolds (Watt)"	4
"May, Harley"	4
"McDowel, Till"	4
"McFaddin, William Perry Herring, Jr."	4
Military and War - United States Armed Forces - United States Air Force	4
Millers Mindy	4
Neckties	4
Northside Palomino Show	4
"Perini, V. C., Jr."	4
"Perryman, Levi, 1839-1921 -- Archives."	4
"Peters, Tom"	4
Photographic Slides -- 1880-1930	4
Photographic Slides -- 1900-1910	4
Places - United States - Texas - Harris County	4
"Polk, Marsh"	4
Ponies	4
"Print,Photographic"	4
Reata Ranch	4
Records (Documents)	4
"Romero, Ernesto"	4
"Rose, Carol"	4
San Simon Cattle and Canal Company	4
Scar Hug	4
"Scott, Mortimer"	4
Social Life and Customs - Customs - Picnics	4
Southwestern Exposition and Fat Stock Show	4
Spanish Mustangs	4
Sports and Recreation - Amusement Rides	4
Sports and Recreation - Dancing	4
Sports and Recreation - Games	4
Sports and Recreation - Hiking	4
Sports and Recreation - Soccer	4
Sports and Recreation - Tennis	4
"Stryker, John Addison"	4
"Stryker, John Addison, 1883-1974"	4
Suits	4
Tardy Too	4
Telephone Wires	4
Texas Highways	4
Texas history	4
"Tibbs, Casey"	4
Ties	4
Tye Bars	4
Village Creek Ranch	4
Waggoner Ranch	4
"Welch, Bob"	4
West Texas Fair Parade	4
Wood	4
accounts	4
adoptions	4
babies	4
beef	4
bicycles	4
bits	4
boys	4
bridles	4
camels	4
camps	4
cannons	4
caravans	4
cattle roping	4
championships	4
chuck wagons	4
contests	4
deserters	4
employees	4
envelopes	4
explorations	4
farm implements	4
farm scenes	4
fire trucks	4
flowers	4
fountains	4
girls	4
horse breeds	4
horse racing	4
horsemen	4
jockeys	4
judges	4
models	4
papers	4
patrol	4
piers	4
polo	4
prisoners	4
properties	4
purchases	4
raids	4
roads	4
sales	4
socializing	4
songs	4
television shows	4
towns	4
trailers	4
trick riding	4
unclaimed animals	4
western photographers	4
yankees	4
4H State Finals	3
Agriculture - Stock Tanks	3
Arabian horses	3
"Arispe, Mariano"	3
Arts and Crafts - Theatre	3
"Barker, Tom"	3
Barn Dance	3
Barns	3
"Beazley, Bill (Doc)"	3
"Bell, Wayne"	3
"Benavides, Jesús"	3
Bevin Boy	3
Big Bend National Park	3
"Blocker, A. B."	3
Bones	3
"Bonnalack, Mike"	3
"Bravo, Calisto"	3
Brite Ranch	3
"Business, Economics and Finance - Communications"	3
"Business, Economics and Finance - Medicine - Nurses"	3
"Business, Economics and Finance - Motels"	3
"Business, Economics and Finance - Stores - Farmers' Markets"	3
"Business, Economics and Finance - Transportation - Trucks - Commercial"	3
Camp MacArthur	3
"Capeton, E. K."	3
"Carr, Don"	3
Carriages	3
"Carter, Amon G."	3
"Chamberlin, Rose"	3
Channel 5	3
Chariot racing	3
Chihuahuan Desert	3
"Cody, W. F."	3
Colborn Bowl	3
"Columbus, New Mexico"	3
Commercial Buildings	3
"Connally, John"	3
"Cordrey, Melvin"	3
Cotton Bowl	3
Cotton Griffith	3
Council Commanche	3
Cowgirls	3
Cows.	3
Cowtown Daze	3
Cutters First	3
Cutting (Horsemanship) -- Competitions -- Texas.	3
"Cárdenas, Jesus"	3
"Dale, Dub"	3
Dallas Police Department	3
Dallas city council	3
Dateline	3
Dew Ranch	3
Dolly	3
"Dowe, O. C."	3
"Duncan, Frank"	3
Education - Colleges and Universities - Texas Christian University	3
Education - Colleges and Universities - University of Texas	3
Fentress Family -- Archives.	3
Fort Worth Police Department	3
Four Sixes Ranch	3
Franklin mountains	3
"Garrison, Walt"	3
Gay Pistol	3
"Glover, Bill"	3
Go Far Bar Bob	3
Goetz	3
"González, José María"	3
Government and Law - Constitutions	3
Government and Law - Court Reports	3
"Graham, Lex"	3
"Graham, Lou"	3
"Griffin, Alice"	3
"Griffin, Lillian"	3
Gun Buster	3
"Hardin, Clifford"	3
"Heckel, J. T."	3
Hedgie Nellie	3
"Hinson, Larry"	3
"Hogan, Ben"	3
Hoppen	3
"Horne, Walter H., 1883-1921"	3
Horse-Drawn Carriages	3
"Hyndman, Bill"	3
Impressive	3
Insurrectos	3
"Jernigan, Laura"	3
Jinkins Ranch Quarter Horse Show	3
Joe	3
"Jones, C. T."	3
"Jones, Debra"	3
Justin Dude Ranch	3
"Kennard, A. D., 1818-1885 -- Archives."	3
Kenny Pugh	3
Landscape and Nature - Beaches	3
Landscape and Nature - Natural Disasters - Storms	3
Little Boys	3
"Livingston, Dale"	3
Loyd Jinkins	3
McQuay Stables	3
Mexican constitutional soldiers	3
Military and War - Transportation - Aviation	3
"Mixer, Orren"	3
"Moore, Henry S."	3
"Morton, Robert"	3
Mr. Conclusion	3
Mr. Peel's Farm	3
Mr. San Peppy	3
"Newton, Jack"	3
Ojinaga	3
"Osterhout, Junia Roberts"	3
"Osterhout, Junia Roberts, d. 1897"	3
Pancho Villa	3
"Parramore, James Harrison"	3
Paulyana	3
"Phillips, B. F."	3
Photographs	3
Places - United States - New Mexico	3
Places - United States - Texas - Anderson County	3
Places - United States - Texas - Childress County	3
Places - United States - Texas - King County	3
Places - United States - Texas - Tarrant County	3
"Plummer, Bob"	3
Political - Community	3
Postcard	3
"Price, Daniel"	3
"Punitive Expedition in Mexico, 1916-1917"	3
Quarter Horses	3
"Reeves, Donna"	3
Religion - Missions	3
"Reno, Jim"	3
Richardson (Tex.) -- Photographs.	3
Rio Grande	3
Rio Grande River	3
"Salinas, Clemente"	3
Sands Hotel	3
Science and Technology - Computers	3
Shetland	3
Shetland pony	3
Shorty	3
"Shoulders, Jim"	3
Sidewalks	3
Skulls	3
Social Life and Customs - Clothing - Accessories	3
Social Life and Customs - Clubs and Organizations - Fraternities	3
Social Life and Customs - Customs - Holidays	3
Social Life and Customs - Furnishings - Utensils	3
Social Life and Customs - Hobbies	3
Sports and Recreation - Biking	3
Sports and Recreation - Boxing	3
State Fair Coliseum	3
Sugar Land Feedyards	3
Super Boy Cody	3
"Sánchez, Teodoro"	3
Texas State Fair	3
The Pullet Derby	3
Towers	3
"Trevino, Lee"	3
"Treviño, Pedro"	3
UNT	3
"Underwood, Billy G."	3
"United States Rifle, Caliber .30-06, Model 1903"	3
"United States. Army -- History -- Punitive Expedition into Mexico, 1916"	3
Valor Farm	3
"Vela, Santiago"	3
WBAP TV	3
Wagons.	3
Wedding festivities (Palestine)	3
"Wheeler, J. J."	3
Wichita Falls (Tex.) -- Photographs	3
abuse	3
acknowledgments	3
ambulances	3
animal rescues	3
anvils	3
appaloosas	3
athletes	3
attorneys	3
ayuntamientos	3
barrel racing	3
battlefield dead	3
bonds	3
boots	3
branding	3
cabins	3
cadets	3
camera operators	3
campaigns	3
canning	3
carnivals	3
cartoons	3
cattle drives	3
cattle industry	3
ceremonies	3
chuck-wagons	3
cities	3
city ordinances	3
clouds	3
couples	3
cowboy boots	3
"de la Garza, José Francisco"	3
deceased	3
deer	3
dirt roads	3
disputes	3
docks	3
entertainment	3
equestrian farms	3
equestrians	3
farmsteads	3
fillies	3
flight attendants	3
glasses	3
harvests	3
herders	3
holding pens	3
horse	3
horse and buggy	3
horse trailers	3
horse trainers	3
horseshoeing	3
landscapes	3
lists	3
longhorns	3
mail	3
mail carriers	3
microphones	3
monkeys	3
mosquitoes	3
motorists	3
mountains	3
murders	3
mustangs	3
newspaper	3
novels	3
parking lots	3
peaches	3
performing	3
plows	3
polo games	3
postcard	3
postmasters	3
prices	3
props	3
protests	3
puppies	3
rain	3
rebels	3
rescues	3
robberies	3
rodeo clowns	3
show animals	3
singers	3
snakes	3
speakers	3
speeches	3
sponsors	3
square dance	3
stadiums	3
statues	3
steamer engines	3
stunts	3
supplies	3
surreys	3
surveys	3
tanks	3
texas longhorns	3
thills	3
traffic	3
trips	3
trucks	3
water tanks	3
wells	3
winners	3
youths	3
zebras	3
zoos	3
1916 1 (one) cent George Washington postage stamp	2
1964 Cotton Bowl Rodeo	2
32nd Annual Village Fair	2
4th of July	2
5th Calvary Regiment	2
8th Cavalry	2
"Abernathy, Sgt. Wayne"	2
"Adams, Beecher"	2
"Adams, Bill"	2
"Adams, Nathan"	2
Agriculture - Domestic Animals - Poultry - Turkeys	2
Agriculture - Farming - Rice	2
Agriculture - Farming - Vegetables	2
Agriculture - Processing and Storage - Cotton Gins	2
Agriculture - Processing and Storage - Meat Packing	2
Albert J. Meek Inc.	2
"Allen, C. C."	2
"Allison, Janet"	2
"Allman, Pierce"	2
"Alvorado, Andres"	2
American Airlines Stewardess College	2
"Andersen, Mads"	2
"Anderson, Barris"	2
"Anderson, Jack"	2
"Anderssen, Ingrid"	2
Appaloosa horses	2
Arby's	2
Architecture - Civil Works - Locks and Dams	2
Architecture - Landmarks - Alamo	2
Architecture - Monuments	2
"Arnold, Eddy"	2
Arts and Crafts - Crafts - Metalwork	2
Arts and Crafts - Crafts - Wood Carving	2
Arts and Crafts - Music - Orchestras	2
"Aston, Herman"	2
"Aten, Ira"	2
"Atkins, Annie"	2
Auction houses	2
"Austin, Stephen F. (Stephen Fuller), 1793-1836"	2
"Aycock, Fowler"	2
"Baetge, O. R."	2
"Baker, Bobbie Dean"	2
"Bakersville, Arkansas"	2
Bar Bob Sandy	2
"Baskowitz, Helene"	2
"Baskowitz, Robert"	2
