County Name,Daily,Semiweekly,Weekly,Semimonthly,Monthly,Bimonthly,Quarterly,Annual,Irregular,Missing,Total
Lamb,0,0,11,1,1,0,0,0,0,0,12
Lampasas,2,1,12,1,1,0,0,0,0,0,15
La Salle,0,0,3,0,0,0,0,0,0,0,3
Lavaca,2,10,27,0,1,0,0,0,0,1,31
Lee,0,0,14,0,0,0,0,0,0,1,15
Leon,0,0,13,0,0,0,0,0,0,1,14
Liberty,0,2,23,0,0,0,0,0,0,1,24
Limestone,5,0,15,1,2,0,0,0,0,1,23
Lipscomb,0,0,12,0,0,0,0,0,0,2,14
Live Oak,0,0,10,0,1,0,0,0,0,0,11
Llano,0,0,5,0,0,0,0,0,0,1,6
Loving,0,0,0,0,0,0,0,0,0,0,0
Lubbock,9,1,41,1,1,0,0,0,0,2,53
Lynn,0,0,9,0,0,0,0,0,0,0,9
McCulloch,0,2,10,0,0,0,0,0,0,0,10
McLennan,31,8,95,7,22,0,1,0,0,4,153
McMullen,0,0,1,0,0,0,0,0,0,0,1
Madison,0,0,7,0,0,0,0,0,0,1,8
Marion,4,2,26,0,1,0,0,0,0,2,33
Martin,0,1,2,0,0,0,0,0,0,0,2
Mason,0,0,6,0,0,0,0,0,0,0,6
Matagorda,3,1,16,0,0,0,0,0,0,1,20
Maverick,1,1,15,1,1,0,0,0,0,2,19
Medina,1,1,19,0,2,0,0,0,0,2,24
Menard,0,0,6,0,0,0,0,0,0,0,6
Midland,4,3,7,0,0,0,0,0,0,4,15
Milam,1,1,15,0,0,0,0,0,0,1,17
Mills,0,0,4,0,0,0,0,0,0,0,4
Mitchell,0,1,9,0,0,0,0,0,0,3,12
Montague,0,1,15,1,1,0,0,0,0,1,17
Montgomery,1,0,8,1,1,0,0,0,0,3,13
Moore,2,1,10,0,0,0,0,0,0,1,13
Morris,0,1,10,0,0,0,0,0,0,1,11
Motley,0,0,5,0,0,0,0,0,0,0,5
Nacogdoches,4,1,22,1,1,0,0,0,0,4,31
Navarro,5,1,24,0,2,1,0,0,0,3,34
Newton,0,0,5,0,0,0,0,0,0,0,5
Nolan,4,0,9,1,2,0,0,0,0,0,15
Nueces,14,5,60,3,8,1,0,0,1,17,100
Ochiltree,0,0,10,0,0,0,0,0,0,0,10
Oldham,0,0,5,0,0,0,0,0,0,3,8
Orange,4,0,13,0,0,0,0,0,0,0,17
Palo Pinto,3,0,17,0,0,0,0,0,0,2,22
Panola,0,0,7,0,1,0,0,0,0,0,8
Parker,5,1,27,1,1,0,0,0,0,4,37
Parmer,0,0,6,1,1,0,0,0,0,0,7
Pecos,0,0,4,0,0,0,0,0,0,0,4
Polk,0,0,13,0,0,0,0,0,0,0,13
Potter,17,2,26,1,3,0,0,0,1,1,48
Presidio,0,1,13,1,2,1,0,0,0,0,15
Rains,0,0,5,0,0,0,0,0,0,0,5
Randall,1,2,7,0,0,0,0,0,0,0,8
Reagan,0,0,1,0,0,0,0,0,0,0,1
Real,0,0,4,0,0,0,0,0,0,2,6
Red River,0,2,13,0,0,0,0,0,0,3,16
Reeves,4,6,19,0,0,0,0,0,0,3,26
Refugio,0,0,12,0,0,0,0,0,0,0,12
Roberts,0,0,13,2,2,0,0,0,0,4,19
Robertson,0,0,11,2,2,0,0,0,0,4,17
Rockwall,0,1,5,0,0,0,0,0,0,1,6
Runnels,2,1,21,0,0,0,0,0,0,0,23
Rusk,2,0,16,1,1,0,0,0,0,2,21
Sabine,0,0,8,0,0,0,0,0,0,1,9
San Augustine,0,0,24,0,1,0,0,0,0,2,27
San Jacinto,0,0,7,0,0,0,0,0,0,1,8
San Patricio,0,0,15,0,0,0,0,0,0,1,16
San Saba,0,0,8,0,0,0,0,0,0,0,8
Schleicher,0,0,7,0,0,0,0,0,0,0,7
Scurry,1,0,10,1,1,0,0,0,0,1,13
Shackelford,0,0,6,0,0,0,0,0,0,1,7
Shelby,4,1,8,0,0,0,0,0,0,2,14
Sherman,0,0,2,0,0,0,0,0,0,0,2
Smith,11,3,39,0,1,0,0,0,0,4,55
Somervell,0,0,5,0,0,0,0,0,0,1,6
Starr,1,0,6,0,0,0,0,0,1,0,8
Stephens,1,0,2,0,0,0,0,0,0,1,4
Sterling,0,0,4,0,0,0,0,0,0,0,4
Stonewall,0,0,3,0,0,0,0,0,0,0,3
Sutton,0,0,2,0,0,0,0,0,0,0,2
Swisher,0,0,10,0,0,0,0,0,0,0,10
Tarrant,40,10,167,11,30,0,0,1,1,24,263
Taylor,7,3,28,3,3,0,0,0,0,2,40
Terrell,0,0,2,0,0,0,0,0,0,0,2
Terry,0,0,7,0,0,0,0,0,0,0,7
Throckmorton,0,0,11,0,0,0,0,0,0,0,11
Titus,3,0,10,0,0,0,0,0,0,2,15
Tom Green,7,0,15,0,1,0,0,0,0,1,24
Travis,50,7,207,25,63,5,1,0,5,30,356
Trinity,0,0,14,0,0,0,0,0,0,0,14
Tyler,0,0,13,0,1,0,0,0,0,1,15
Upshur,1,0,9,0,0,0,0,0,0,1,11
Upton,0,0,3,0,0,0,0,0,0,1,4
Uvalde,1,1,9,0,1,0,0,0,0,0,11
Val Verde,2,1,11,0,0,0,0,0,0,1,14
Van Zandt,0,1,15,0,0,0,0,0,0,2,17
Victoria,4,0,13,0,0,0,0,0,0,1,18
Walker,2,2,16,0,5,0,0,0,0,1,24
Waller,1,0,17,1,1,0,0,0,0,2,21
Ward,2,1,15,0,0,0,0,0,0,1,18
Washington,11,2,34,0,1,0,0,0,0,1,47
Webb,13,5,20,1,2,1,0,0,0,0,35
Wharton,0,4,9,0,0,0,0,0,0,3,12
Wheeler,1,0,5,0,0,0,0,0,0,2,8
Wichita,6,0,12,0,6,0,0,0,0,2,26
Wilbarger,2,1,8,0,0,0,0,0,0,1,11
Willacy,0,0,9,0,1,1,0,0,0,0,10
Williamson,4,2,49,0,3,0,0,0,0,5,61
Wilson,0,0,11,0,1,0,0,0,0,3,15
Winkler,1,2,7,0,0,0,0,0,0,0,8
Wise,0,2,14,0,1,0,0,0,0,3,18
Wood,1,0,16,0,0,0,0,0,0,2,19
Yoakum,0,0,6,0,0,0,0,0,0,0,6
Young,2,2,12,0,1,0,0,0,0,0,15
Zapata,0,0,4,0,0,0,0,0,0,0,4
Zavala,0,0,3,0,0,0,0,0,0,0,3
